2026-06-19 21:36:47 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:37:03 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:37:04 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:37:08 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:37:09 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:37:58 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:38:01 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:38:02 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:38:16 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:38:28 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:40:34 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:45:41 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:45:44 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:48:10 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:48:11 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 21:48:48 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:01:02 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:01:05 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:01:10 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
